DATA_MANAGE_NO,DATA_TITLE_NM,THEME_NM,LWPRT_THEME_NM,CL_NM,LWPRT_CL_NM,SBJT_NM,MIDDL_SBJT_NM,SUMRY_CN,MAIN_THUMB_URL,CNTNTS_URL,CTPRVN_NM,SIGNGU_NM,ADDR,CTLSTT_LA,CTLSTT_LO,REGIST_DE,RELATE_PRSN_NM,RELATE_STRY_NM,CORE_KWRD_CN,OPN_DE
1,판소리의 성지 보성에서 열리는 서편제보성소리축제,생활문화,지역축제,생활과 민속,민속,지역음식축제,,"전라남도 보성은 근대 판소리의 성지로, 서편제에서 갈라진 강산제(岡山制)를 창시한 보성 서편제의 비조인 박유전(朴裕全)과 보성소리를 만든 정응민 등의 소리를 계승하고 기념하고, 판소리를 대중화하기 위한 축제의 장이다. 1998년 제1회 축제를 시작으로 지금까지 천하제일 명창무대, 전국판소리경연대회, 판소리 성지순례, 판소리 한대목 배우기 등의 다채로운 행사를 펼쳐왔다.",https://minio.nculture.org/amsweb-opt/multimedia_assets/173/30227/17140/c/118_-2019-서편제보성소리축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/101,전라남도,보성군,전라남도 보성군 보성읍 송재로 165,34.77166624,127.0800428,20181116,감상기,"민요를 채보하고 현대적으로 재건한 국악의 아버지, 지영희","서편제, 보성소리, 판소리 경연대회",20211230
2,박연을 기리는 영동난계국악축제,생활문화,지역축제,생활과 민속,민속,춤·음악 축제,,"대한민국의 3대 악성(樂聖)을 왕산악(고구려), 우륵(신라), 박연(조선)이라고 한다. 영동지역에서 펼쳐지는 국악축제인 ‘영동난계국악축제’는 3대 악성 가운데 박연을 기리는 전국유일의 국악축제다. 난계는 박연의 아호다. 1965년 시작할 때의 이름은 난계예술제로, 경연대회 정도의 성격이었다가 1975년 전국적인 축제로 발전한다. 난계국악축제라는 명칭으로의 변화는 1998년부터이다.",https://minio.nculture.org/amsweb-opt/multimedia_assets/215/30268/17183/c/166_-2019-영동난계국악축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/401,충청북도,영동군,충청북도 영동군 영동읍 중앙로 11,36.17410224,127.7751646,20181116,감상기,"민요를 채보하고 현대적으로 재건한 국악의 아버지, 지영희","박연, 난계사, 국악",20211230
3,"판소리 이론을 세운 원조 명창, 김세종",생활문화,지역문화예술인,종교와 문화,문화예술,음악,,"김세종은 19세기에 활약한 순창 출신의 판소리 이론가이자 명창이다. 신재효가 이론가이기 이전에 중인 출신의 판소리 후원가였다면, 김세종은 이론가이면서 소리꾼 가문의 연창자(演唱者)였다. 그는 가문 소리로 익힌 동편제 판소리를 더욱 발전시켰는데, 특히 《춘향가》의 를 잘 불러서, 오늘날의 는 그의 더늠으로 알려졌다. 그는 신재효와 함께 판소리 이론을 확립하는 한편, 신재효의 집에 머물며 판소리 후진 양성에 힘썼다.",,https://ncms.nculture.org/local-artist/story/565,전라북도,순창군,전북 순창군 순창읍 장류로 407-11,35.37762479,127.1468391,20181116,감상기,"민요를 채보하고 현대적으로 재건한 국악의 아버지, 지영희","판소리, 8명창, 소리꾼, 동편제, 서편제",20211230
4,"판소리의 집을 짓고 옷을 입힌 이, 신재효",생활문화,지역문화예술인,종교와 문화,문화예술,음악,,"신재효는 고창 출신의 판소리 이론가 겸 비평가이자 판소리 작품의 창작자 겸 편집자이며, 또한 판소리 명창들의 후원자로 판소리사에 크나큰 자취를 남긴 인물이다. 수많은 판소리 작품을 세련되게 개작하거나 창작하고, 판소리 창자의 조건을 이론화했으며, 판소리 가창의 저변을 확대하고 새로운 명창들을 양성했다. 최초의 여성 명창 진채선을 발굴한 일, 그리고 그녀를 향한 애정을 담은 작품 《도리화가》도 유명하다.",https://minio.nculture.org/amsweb-opt/multimedia_assets/132/29829/15033/c/%EC%8B%A0%EC%9E%AC%ED%9A%A8-%EA%B3%A0%ED%83%9D-2020-01-03-18.45.19_2-thumb.jpg,https://ncms.nculture.org/local-artist/story/566,전라북도,고창군,전북 고창군 고창읍 판소리길 20 동리국악당,35.43172216,126.702342,20181116,감상기,"민요를 채보하고 현대적으로 재건한 국악의 아버지, 지영희","도리화가, 동리, 진채선",20211230
5,"판소리의 새로운 길을 모색한 얽매임 없는 예술가, 송만갑",생활문화,지역문화예술인,종교와 문화,문화예술,음악,,"송만갑은 동편제 명문가 출신으로 그 특징을 가장 잘 드러내던 명창이었지만 여기에 서편제를 가미해 새로운 소리제를 창조했던 동편제 판소리의 상징적 인물이다. 더욱이 근대적 양식으로 연극 요소를 도입해 대중적인 관심을 유도하는 창극의 기반을 마련했으며 일제 강점기, ‘조선성악연구회’를 결성하고 ‘협률사’를 조직해 서울은 물론 전국적 공연활동과 후진양성에 헌신하며, 판소리를 통해 민족혼을 일깨우는 작업을 했다. 현재까지 이어지는 여러 명창의 계보가 송만갑에서",,https://ncms.nculture.org/local-artist/story/842,전라남도,구례군,전라남도 구례,35.20249636,127.4627036,20181116,감상기,"민요를 채보하고 현대적으로 재건한 국악의 아버지, 지영희","순천, 전주대사습놀이, 조선성악연구회, 동편제",20211230
6,"민요를 채보하고 현대적으로 재건한 국악의 아버지, 지영희",생활문화,지역문화예술인,종교와 문화,문화예술,음악,,"지영희는 한국의 민속음악을 보존하고 계승하여, 국악의 근대화를 이룩한 위대한 음악가이다. 지영희는 해금산조와 피리 시나위의 명인으로 거의 모든 전통악기에 통달한 뛰어난 연주자였고, 또한 작곡, 채보, 연구, 지휘, 교육 등 국악의 전 영역에서 큰 족적을 남긴 종합예술인이다. 지영희 덕분에 악보없이 전해지던 민요가 오선보에 기록되었으며, 국내 최초로 국악관현악단을 만들기도 했다. 지영희는 식민지와 분단을 겪으며 점차 사라져가던 민속음악의 유산을 되살리고",,https://ncms.nculture.org/local-artist/story/1125,경기도,평택시,경기 평택시 현덕면 평택호길 147,36.92113408,126.9206676,20181116,감상기,,"국악관현악단, 해금산조, 피리 시나위, 국악의 아버지",20211230
7,"국악의 사표가 된 명창, 만정 김소희",생활문화,지역문화예술인,종교와 문화,문화예술,음악,,"만정 김소희는 전라북도 고창군 출신의 대표적인 여성 명창으로, 우아한 기품이 있는 소리로 한 시대를 대표하는 소리꾼이었다. 동편제와 서편제의 전통을 조화시켜 독자적으로 발전시켰으며, 수많은 제자들을 길러내 민속예술을 후대에 계승하였다. 평생 소리공부에 정진하며 불굴의 예술혼을 지닌 예인으로서의 삶을 살았다.",https://minio.nculture.org/amsweb-opt/3ds/81/84436/84436_thumbnail.jpg,https://ncms.nculture.org/local-artist/story/1128,전라북도,고창군,전라북도 고창군 흥덕면 사포리 335,35.54592404,126.6767944,20181116,감상기,"민요를 채보하고 현대적으로 재건한 국악의 아버지, 지영희","여성 궁극, 심청가, 춘향가, 만정 김소희",20211230
8,대하장편소설 '토지'의 작가 박경리,생활문화,지역문화예술인,성씨와 인물,인물,문학,,"경상남도 하동의 작가로 박경리가 있다. 하동에 있는 최참판댁과 박경리문학관에는 박경리를 기억하는 많은 사람들이 방문하고 있다. 박경리의 대표작은 『토지』로, 조선 후기와 일제강점기를 거치는 근대 한국의 역사를 담은 대하장편소설이다. 경상남도 하동군 악양면 평사리가 『토지』의 주 무대다. 작품 속에서는 지리산과 섬진강을 낀 평사리의 넓고 비옥한 대지에 최참판댁과 마을 사람들이 생을 기탁하고 있다. 경상남도 하동군 악양면 평사리에는 이러한 『토지』의 공간을",https://minio.nculture.org/amsweb-opt/3ds/84/84439/84439_thumbnail.jpg,https://ncms.nculture.org/local-artist/story/1048,경상남도,하동군,경남 하동군 악양면 평사리길 79,35.15536136,127.6865663,20181116,강경애,한국 최초의 노동운동 소설 '인간문제'를 쓴 강경애|개항 이후 부두 노동자들의 땀과 눈물-인천 구 대화조 사무소,"토지, 하동, 박금이, 최참판댁",20211230
9,한국 최초의 노동운동 소설 '인간문제'를 쓴 강경애,생활문화,지역문화예술인,성씨와 인물,인물,문학,,"강경애는 우리나라 최초의 노동운동 소설 「인간문제」를 쓴 작가이다. 서울, 장연, 간도 용정 등을 오가며 생활하면서 사회 문제, 특히 농민과 노동자 문제를 고민하는 시와 소설, 수필을 발표했다. 강경애의 대표작 「인간문제」는 인천 대동방적 공장을 무대로 하는데, 이곳은 인천 만석동의 동양방적 공장을 모델로 하고 있다. 황해도 장연과 인천 부두를 배경으로 가낭한 동민과 노동자들이 계급의식을 자각하고 노동운동에 참여하는 모습을 보여주는 소설이다.",,https://ncms.nculture.org/local-artist/story/1050,인천광역시,남동구,인천광역시 남동구 남동대로 795 동방빌딩 5층,37.45335449,126.7077549,20181116,강경애,개항 이후 부두 노동자들의 땀과 눈물-인천 구 대화조 사무소,"인천, 인간문제, 동양방적, 노동운동",20211230
10,대표적인 카프 소설가 이기영,생활문화,지역문화예술인,성씨와 인물,인물,문학,,"이기영은 식민지 체제 하에서 가난하고 고통스러운 삶을 살아가는 농민들의 문제를 고민한 소설가이다. 그는 대표적인 카프 소설가로 꼽힌다. 「가난한 사람들」, 「민촌」, 「농부 정도룡」, 「홍수」, 「서화」, 「고향」 등의 작품이 있으며, 대표작 「고향」에는 충청남도 원터마을이 등장한다. 아름다운 농촌마을이었지만 근대화가 진행되어 황폐하게 변한 마을의 풍경이 표현되어 있다.",,https://ncms.nculture.org/local-artist/story/1052,충청남도,천안시,충남 천안시 서북구 성정8길 5 천안문화원,36.81792922,127.141326,20181116,강경애,한국 최초의 노동운동 소설 '인간문제'를 쓴 강경애|개항 이후 부두 노동자들의 땀과 눈물-인천 구 대화조 사무소,"천안, 고향, 계급문학",20211230
