DATA_MANAGE_NO,DATA_TITLE_NM,THEME_NM,LWPRT_THEME_NM,CL_NM,LWPRT_CL_NM,SBJT_NM,MIDDL_SBJT_NM,SUMRY_CN,MAIN_THUMB_URL,CNTNTS_URL,CTPRVN_NM,SIGNGU_NM,ADDR,CTLSTT_LA,CTLSTT_LO,REGIST_DE,RELATE_PRSN_NM,RELATE_STRY_NM,CORE_KWRD_CN,OPN_DE
9289,중용,역사문화유산,유교,문화유산,기타,서원 ·향교의 이해를 위한 유학 개괄,유학의 기본 사상,"중용(中庸)은 대학과 마찬가지로 예기(禮記)에 있는 한 편(篇) 이었으나 송(宋)나라 때 성리학이 확립되면서 사서의 하나로 독립되어 단행본으로 되었다. 공자(孔子)의 손자인 자사(子思)의 저작이라 알려져 있으며 주석서에 의하면 ‘中’이란 어느 한쪽으로 치우치거나 기울어지지 않는다는 뜻, ‘庸’이란 평상(平常)을 뜻한다. “하늘(天)이 부여(命)한 본성(性)을 좇아 행동하는 것이 인간이 가야할 길(道)이며 그 길을 잘 닦는 것을 교(敎)라고 한다.”가 중",https://minio.nculture.org/amsweb-opt/multimedia_assets/25/24030/6601/c/24030-thumb.jpg,https://ncms.nculture.org/confucianism/story/2693,,,,,,20181116,자사,"효의 실천자, 증자|공자부터 맹자까지 5명의 성인, 오성위|'중용'을 쓴 공자의 손자, 자사|성선설과 왕도정치를 주장한 맹자|성리학|사람의 명칭이자 책의 명칭, 맹자|삼국시대 인물을 배향한 서원","중용, 천명, 솔성, 수도, 진실무망",20211230
9290,"사람의 명칭이자 책의 명칭, 맹자",역사문화유산,유교,문화유산,기타,서원 ·향교의 이해를 위한 유학 개괄,유학의 기본교재,"맹자(孟子)는 사람의 명칭이자 책의 명칭이다. 맹자는 공자의 손자인 자사의 문하생에게 배웠다. 성리학의 주요 개념 중 하나인 사단과 성선설이 맹자의 대표적인 사상이다. 또한 정치에서는 패도정치에 대비되는 왕도정치를 주장하였다. 송대 이전까지는 『맹자주소』라는 책이 있었고, 송대에 주자가 주석한 『맹자집주』가 대표적이 되었다. 맹자는 7편으로 구성되어 맹자의 사상을 충실히 담고 있다. 송대에 성리학이 확립되면서 사서의 하나로 유교의 주요한 경전이 되었다.",,https://ncms.nculture.org/confucianism/story/2597,,,,,,20181116,자사,"효의 실천자, 증자|공자부터 맹자까지 5명의 성인, 오성위|'중용'을 쓴 공자의 손자, 자사|성선설과 왕도정치를 주장한 맹자|성리학|중용|삼국시대 인물을 배향한 서원","사람의 명칭, 책의 명칭, 아성, 사단, 성선, 왕도정치",20211230
9291,삼국시대 인물을 배향한 서원,역사문화유산,유교,문화유산,기타,훼철되지 않은 서원,총론,우리나라에서는 삼국시대 때부터 유교를 들여와 공부하였다. 고구려의 국립교육기관인 태학에서는 유교경전을 가르쳤고 백제의 아직기와 왕인은 일본에 유학을 전했다. 신라인 중에서는 설총과 최치원이 대표적인 유학자이다. 우리나라 유교는 도학적 성격이 강했는데 이는 단군신화의 홍익인간이 인간 중심적 세계관을 지니고 있었기 때문이었다. 비훼철서원 중에는 설총과 최치원을 배향하는 서악서원과 무성서원이 삼국시대 인물을 배향하는 서원으로 남아 있다.,,https://ncms.nculture.org/confucianism/story/2587,,,,,,20181116,자사,"효의 실천자, 증자|공자부터 맹자까지 5명의 성인, 오성위|'중용'을 쓴 공자의 손자, 자사|성선설과 왕도정치를 주장한 맹자|성리학|중용|사람의 명칭이자 책의 명칭, 맹자","신라 시대 유학, 오경, 최치원, 설총, 무성서원, 서악서원, 도학",20211230
9292,"궁중 여인들의 연회지, 경복궁 청연루",역사문화유산,누정,문화유산,건축유적,"궁궐, 관아의 누정",궁궐의 누정,"청연루는 서울특별시 종로구 삼청로 37번지 경복궁 내에 있는 누각이다. 원래 대비의 거처인 자경전 내에 딸린 부속 건물이다. 1888년(고종 25)에 지어졌다. 경회루에서 왕과 신하들이 연회를 베풀었던 반면에 청연루에서는 대비, 왕비, 공주, 군부인 등 궁중 여인들의 연회 장소로 사용되었다.&nbsp;",https://minio.nculture.org/amsweb-opt/multimedia_assets/49/18108/17870/c/18108-thumb.jpg,https://ncms.nculture.org/pavilion/story/2346,서울특별시,종로구,서울특별시 종로구 세종로,37.580195,126.978172,20181116,자성왕대비,,"청연루, 자경전, 경복궁, 누마루, 연회지, 누정, 누각, 정자",20211230
9293,예천 용문사 윤장대 (보물 684호),산업,목공예,문화유산,공예,의례용 목공예,불교,경상북도 예천 용문사에는 윤장대(輪藏臺)가 있다. 이는 경전을 넣은 책장 아래에 축을 달아 손으로 잡고 돌릴 수 있게 만든 회전책장이다. 윤장대를 돌리면 불경을 한번 읽은 것으로 쳐주기 때문에 글자를 모르는 신도나 노동으로 시간이 없는 신도들이 이를 돌리며 공덕을 쌓을 수 있었다. 1670년경 만들어진 용문사 윤장대는 국내에 유일하게 남아있는 윤장대이다.&nbsp;,https://minio.nculture.org/amsweb-opt/multimedia_assets/19/15025/2524/c/15025-thumb.jpg,https://ncms.nculture.org/woodcraft/story/3546,경상북도,예천군,경상북도 예천군 용문면 용문사길 285-30,36.7312991,128.370342,20181116,자엄대사,,"용문사, 목공예, 불교, 대장전(보물 제145호), 목조아미타여래삼존좌상(보물 제 989호)",20211230
9294,공자의 '춘추'를 후세에 전한 복상,역사문화유산,유교,문화유산,기타,서원 ·향교의 이해를 위한 유학 개괄,서원향교 배향인물,"복상(卜商)은 자를 자하(子夏)라 했고, 공자보다 44년 아래였다. 진(晋)나라 온(?, 지금의 허난성 온현) 사람으로 공자의 수제자인 공문십철로 꼽혔다. 공자가 이야기한 과유불급(過猶不及)은 자공이 “사(師, 자장)와 상(商, 복상) 누가 더 뛰어납니까?”라느 물음에 대한 답으로 나왔다. “자장은 지나치고, 복상은 미치지 못한다.”면서 “지나친 것은 미치지 못한 것이나 같다.”라고 했다. 복상은 내면보다 객관적 형식인 예를 중시했고, 공자의 『춘추』를",https://minio.nculture.org/amsweb-opt/multimedia_assets/238/23975/6546/c/23975-thumb.jpg,https://ncms.nculture.org/confucianism/story/2690,,,,,,20181116,자유,,"자하, 공문십철, 과유불급",20211230
9295,우암 송시열과 명재 윤증의 갈등과 노소 붕당,역사문화유산,유교,문화유산,기타,훼철되지 않은 서원,노강서원(논산),명재 윤증은 우암 송시열의 제자였다. 하지만 기유의서 사건을 계기로 둘의 관계는 갈등이 빚어졌고 이어 윤증이 신유의서를 써 스승인 송시열의 문제를 지적하였다. 윤증과 송시열의 갈등은 이후 정치적 견해와 입장에서도 온건파와 강경파로 나뉘어 소론과 노론의 붕당으로 이어지게 된다. 송시열과 윤증의 교유와 갈등은 조선 사회에서 유교의 학풍과 지향하는 가치에 따라 어떻게 다르게 해석되고 삶에 영향을 미치는지 잘 보여주고 있다.,,https://ncms.nculture.org/confucianism/story/2694,충청남도,논산시,충청남도 논산시 광석면 오강리 227,36.2596698,127.0732142,20181116,자의대비,예학으로 도와 의를 세우고자 한 예송논쟁,"신유의서, 윤증, 송시열, 노론, 소론, 우계학, 율곡학, 의리쌍행",20211230
9296,예학으로 도와 의를 세우고자 한 예송논쟁,역사문화유산,유교,문화유산,기타,훼철되지 않은 서원,대로서원,17세기는 병자호란 이후 동아시아의 질서와 조선 내부의 사회질서가 혼란한 시기였다. 조선의 선비들은 무너진 유교적 세계관과 가치관을 예법으로 다시 세우고자 하였다. 유교 사상을 기초한 예법의 해석과 적용을 두고 사림들 간의 견해차가 생기면서 서인 세력은 노론과 소론으로 갈라졌다. 김장생과 김집으로부터 예학의 이론과 실제를 배운 송시열은 유교의 예법을 임금부터 백성에 이르기까지 모두가 지켜야 하는 보편적인 법칙으로 만들어갔다.,https://minio.nculture.org/amsweb-opt/multimedia_assets/45/24060/10212/c/24060-thumb.jpg,https://ncms.nculture.org/confucianism/story/2591,경기도,여주시,경기도 여주시 하동 200-1,37.299737,127.630242,20181116,자의대비,우암 송시열과 명재 윤증의 갈등과 노소 붕당,"예, 예송논쟁, 기년복, 참최, 송시열, 윤휴, 자모설, 신모설, 노론, 소론, 자의대비",20211230
9297,스님이 도의 문을 통과한 속초 도문동과 신흥사,생활문화,지명유래,"구비전승,어문학",지명유래,강원도 지역의 지명유래,,강원도 속초시 도문동(道門洞)은 자장율사가 도의 문을 통과했다고 붙여진 지명이다. 도문을 통과한 자장율사가 설악산 일원에 향성사라는 절을 지었다. 그러나 절에 계속해서 이유를 알 수 없는 불이 났다. 어느 날 꿈에 산신령이 나타나서 싸리나무 있는데 절을 지으라고 했다. 신이 가르쳐주어 절을 지어 흥했다고 해서 신흥사(神興寺)라 지었다.,https://minio.nculture.org/amsweb-opt/multimedia_assets/48/72722/68307/c/스님이-도의-문을-통과한-속초시-도문동과-신흥사-thumb.jpg,https://ncms.nculture.org/origin-of-place-names/story/478,강원특별자치도,속초시,강원 속초시 설악산로 1137 신흥사,38.17570032,128.4844423,20181116,자장율사,"통도사 사원전의 경계와 소유권을 표시한 울주 상천리 통도사 국장생 석표|수없이 다시 세운, 수마노탑|적멸보궁의 상징 통도사 금강계단|신흥사 대웅전 기단","도문동, 신흥사",20211230
9298,통도사 사원전의 경계와 소유권을 표시한 울주 상천리 통도사 국장생 석표,역사문화유산,한국의 석조문화,문화유산,조각,생활/민속 석조문화,표석,"울주 상천리 통도사 국장생 석표는 울산광역시 울주군 삼남면 상천리에 세워져 있다. ‘상천(象川)’은 취성천의 모양이 코끼리 코처럼 굽었다고 하여 붙여진 지명이다. 울주 상천리 통도사 국장생 석표는 양산에 있는 사찰 통도사의 토지?풍수?방액 등을 위해 세운 경계석이며, 장생에 ‘국’자를 넣은 것은 국가의 명에 의해 건립된 장생임을 의미한다. 사찰에 지급되는 사원전의 경계와 소유권을 표시한 것이다. 통도사는 신라 승려 자장율사가 창건한 사찰로 경상남도 양산",https://minio.nculture.org/amsweb-opt/3ds/200/84555/84555_thumbnail.jpg,https://ncms.nculture.org/stonecraft/story/6690,울산광역시,울주군,울산 울주군 삼남면 상천리 산 37-15,35.52085396,129.1099729,20181116,자장율사,"스님이 도의 문을 통과한 속초 도문동과 신흥사|수없이 다시 세운, 수마노탑|적멸보궁의 상징 통도사 금강계단|신흥사 대웅전 기단","통도사, 국장생, 석표, 울주군 상천리, 표석, 영축산",20211230
